"indexk","kx","ky","band"
690,0.1147,0.3192,2.3556
691,0.1147,0.3648,2.3739
692,0.1147,0.4104,2.39
693,0.1147,0.456,2.403
694,0.1147,0.5016,2.4116
695,0.1147,0.5472,2.3955
696,0.1147,0.5928,2.3929
697,0.1147,0.6384,2.4004
698,0.1147,0.684,2.3807
699,0.1147,0.7296,2.3518
700,0.1147,0.7752,2.3134
701,0.1721,-0.7752,1.8862
702,0.1721,-0.7296,1.9213
703,0.1721,-0.684,1.9472
704,0.1721,-0.6384,1.9639
705,0.1721,-0.5928,1.9721
706,0.1721,-0.5472,1.9728
707,0.1721,-0.5016,1.9669
708,0.1721,-0.456,1.9558
709,0.1721,-0.4104,1.9408
710,0.1721,-0.3648,1.9232
711,0.1721,-0.3192,1.9043
712,0.1721,-0.2736,1.8853
713,0.1721,-0.228,1.8671
714,0.1721,-0.1824,1.8507
715,0.1721,-0.1368,1.8367
716,0.1721,-0.0912,1.8257
717,0.1721,-0.0456,1.8182
718,0.1721,0.,1.8154
719,0.1721,0.0456,1.8182
720,0.1721,0.0912,1.8257
721,0.1721,0.1368,1.8367
722,0.1721,0.1824,1.8507
723,0.1721,0.228,1.8671
724,0.1721,0.2736,1.8853
725,0.1721,0.3192,1.9043
726,0.1721,0.3648,1.9232
727,0.1721,0.4104,1.9408
728,0.1721,0.456,1.9558
729,0.1721,0.5016,1.9669
730,0.1721,0.5472,1.9728
731,0.1721,0.5928,1.9721
732,0.1721,0.6384,1.9639
733,0.1721,0.684,1.9472
734,0.1721,0.7296,1.9213
735,0.1721,0.7752,1.8862
736,0.2295,-0.7752,1.3908
737,0.2295,-0.7296,1.4243
738,0.2295,-0.684,1.4484
739,0.2295,-0.6384,1.4634
740,0.2295,-0.5928,1.4698
741,0.2295,-0.5472,1.4688
742,0.2295,-0.5016,1.4613
743,0.2295,-0.456,1.4488
744,0.2295,-0.4104,1.4326
745,0.2295,-0.3648,1.4141
746,0.2295,-0.3192,1.3945
747,0.2295,-0.2736,1.3751
748,0.2295,-0.228,1.3569
749,0.2295,-0.1824,1.3407
750,0.2295,-0.1368,1.3274
751,0.2295,-0.0912,1.3173
752,0.2295,-0.0456,1.311
753,0.2295,0.,1.3089
754,0.2295,0.0456,1.311
755,0.2295,0.0912,1.3173
756,0.2295,0.1368,1.3274
757,0.2295,0.1824,1.3407
758,0.2295,0.228,1.3569
759,0.2295,0.2736,1.3751
760,0.2295,0.3192,1.3945
761,0.2295,0.3648,1.4141
762,0.2295,0.4104,1.4326
763,0.2295,0.456,1.4488
764,0.2295,0.5016,1.4613
